entire lamina septum pellucidum	gehele lamina septi pellucidi
accident caused by transmission cable	ongeval veroorzaakt door transmissiekabel
upper lid retraction	retractie van bovenooglid
intracranial stereotactic neurolysis of facial nerve (VII)	intracraniale stereotactische neurolyse van zevende hersenzenuw
cerium pneumoconiosis	ceriumpneumoconiose
pT3: Extraprostatic extension	pT3: Extraprostaatverlenging
transverse open fracture patella	gecompliceerde dwarse fractuur van patella
medich macrothrombocytopenia	macrotrombocytopenie van Medich
secondary malignant neoplasm of blood vessel of buttock	secundaire maligne tumor van bloedvat van regio glutealis
tarsometatarsal joint of right third toe	TMT-III-gewricht van rechter voet
variation in quantity of menstrual flow	variatie in hoeveelheid menstrueel bloedverlies
atrolysin E	atrolysine E
salmonella nigeria	Salmonella Nigeria
monounsaturated fat modified diet	dieet met aangepaste inname van enkelvoudig onverzadigde vetzuren
structure of tracheal vein	structuur van vena trachealis
olfactory glands	glandulae olfactoriae
wide QRS ventricular tachycardia	ventriculaire tachycardie met breed QRS-complex
elastic fibre alteration	verandering in elastische vezels
composition of nutritional intake inappropriate	samenstelling van de voedingsinname ongeschikt
entire skin of concha	gehele huid van concha van oor
genus Lunulospora	genus Lunulospora
plain X-ray for measurement of Cobb angle	röntgenfoto voor bepalen van Cobb-hoek
substance with serotonin re-uptake inhibitor mechanism of action	stof met serotonineheropnameremmend werkingsmechanisme
central cleft hard palate	mediane schisis van palatum durum
entire bone tissue of hyoid bone	geheel botweefsel van tongbeen
chlamydia trachomatis serotype D antibody	Chlamydia trachomatis serotype D antilichaam
chlamydia antigen enzyme-linked immunosorbent assay negative	Chlamydia antigeen enzyme-linked immunosorbent assay negatief
congenital atresia of uterus	congenitale atresie van uterus
fluoroscopic angiography of thoracic aorta using contrast with insertion of fenestrated tube stent graft	contrastangiografie van thoracale aorta met plaatsing van gefenestreerde buisvormige endoprothese onder doorlichting
impaired renal function disorder	aandoening met nierfunctiestoornis
replacement of implanted truncal valve	vervangen van geïmplanteerde truncusklep
entire inferior surface of soft palate	gehele inferieure oppervlak van palatum molle
pathological fractures - multiple	meerdere spontane fracturen
fixation of fracture using dynamic compression system	Fixatie van een fractuur met een dynamische compressie systeem
tracheal end-to-end anastomosis	aanleggen van ‘end to end’-anastomose van luchtpijp
nodular basal cell carcinoma	nodulair basocellulair carcinoom
infection due to Mycobacterium paratuberculosis	infectie door Mycobacterium avium paratuberculosis
entire neck of proximal phalanx of finger	exclusief duim gehele hals van proximale falanx van vinger
structure of vincula tendinum of tendons of fingers	structuur van vincula tendinum digitorum manus
domperidone	domperidon
excision of polyp of nasal septum	excisie van poliep van neusseptum
structure of facet joint between L5 and S1	structuur van facetgewricht L5-S1
removal of Thiersch suture	verwijderen van hechting volgens Thiersch van anus
morganella morganii subsp morganii	Morganella morganii subspecies morganii
osteotomy of lesser metatarsal neck	exclusief os metatarsale I osteotomie van hals van os metatarsale
infective myositis of forearm	geïnfecteerde ontsteking van spier van onderarm
radiologic guidance procedure	radiologische geleiding
history of maze procedure for atrial fibrillation	'maze'-procedure voor boezemfibrilleren in anamnese
structure of bone marrow of metatarsal bone	beenmerg van middenvoetsbeentje
lamina of fourth lumbar vertebra	lamina van vierde lumbale vertebra
combined atrial switch and arterial switch operation	gecombineerde atriale switch-operatie en arteriële switch-operatie
open fracture of hand	open handfractuur
open fracture of medial epicondyle of humerus	gecompliceerde fractuur van epicondylus medialis humeri
attempted vaginal rape of female	poging tot vaginale verkrachting van vrouw
product containing precisely crotamiton 100 milligram/1 gram conventional release cutaneous cream	product dat precies crotamiton bevat 100 milligram/1 gram conventionele vrijgekomen huidcrème
contusion of subcondylar region of mandible	contusie van subcondylaire regio van mandibula
serotype O157:non-motile enterohemorrhagic Escherichia coli	niet-motiele enterohemorragische Escherichia coli serotype O157
corneal lesion	cornealaesie
watercraft	vaartuig
microcephaly faciocardioskeletal syndrome	syndroom van microcefalie en faciocardioskeletale afwijkingen
type of constraint	type beperking
constitutive hair colour finding	bevinding betreffende natuurlijke haarkleur
norethisterone acetate	norethisteronacetaat
left branch of atrioventricular bundle	linker tak van atrioventriculaire bundel
primary malignant neoplasm of body of uterus	primair maligne neoplasma van baarmoederlichaam
moderate esophageal dysplasia	matige oesofagusdysplasie
structure of dorsal surface of thumb	structuur van dorsaal oppervlak van digitus I van hand
injury of lumbar spinal cord	letsel van lumbaal ruggenmerg
contact dermatitis of bilateral lower eyelids	contactdermatitis van bilaterale onderoogleden
finding of outcome of delivery	bevinding betreffende uitkomst van partus
methanosarcina semesiae	Methanosarcina semesiae
well defined	duidelijk gedefinieerd
ascending waveform	opgaande golfvorm
fasciocutaneous flap of trunk	transplanteren van fasciocutane flap van romp
rheumatoid arthritis of hand joint	reumatoïde artritis van handgewricht
benign neoplasm of oculomotor nerve	benigne neoplasma van nervus oculomotorius
congenital stenosis of aortic arch	aangeboren vernauwing van arcus aortae
intentional cefpirome overdose	opzettelijke overdosis cefpirom
lateral hypothalamic nucleus	laterale hypothalamuskern
gastric diverticulum without complication	maagdivertikel zonder complicatie
extensor pollicis brevis tendon sheath	vagina tendinis van musculus extensor pollicis brevis
presenting part of foetus high	presentatie van een deel van de foetus hoog
dependent	is afhankelijk van
entire posterior intercostal vein	gehele vena intercostalis posterior
COPD - Chronic obstructive pulmonary disease	chronische obstructieve longaandoening [COPD]
plasmodium inopinatum	Plasmodium inopinatum
assessment using Social Satisfaction Questionnaire	evaluatie met 'Social Satisfaction Questionnaire'
vitreous stroma	vitreus stroma
herlyn Werner syndrome	syndroom van Herlyn-Werner-Wunderlich
thoracic vertebral foramen	structuur van foramen vertebrale van vertebra thoracica
cleft palate with stapes fixation and oligodontia syndrome	stijgbeugelfixatie en oligodontie syndroom van palatoschisis
cremasteric reflex positive	positieve cremasterreflex
carcinoma in situ of nasal cavity and nasopharynx	carcinoma in situ van cavitas nasi en nasofarynx
perineal urethrostomy	aanleggen van perineale urethrostomie
entire interspinalis thoracis muscle	gehele musculus interspinalis thoracis
oversewing perforated gastric ulcer	overhechten van een geperforeerd maagulcus
heart failure medication review	evaluatie van medicatie tegen hartfalen
acne scars - mixed atrophic and hypertrophic	gemengde atrofische en hypertrofische littekens van acne
antigen of live attenuated Rotavirus	antigeen van levend verzwakt rotavirus
anterior limiting layer of stroma of iris	structuur van anterieure begrenzende laag van stroma van iris
tetratrichomonas buttreyi	Tetratrichomonas buttreyi
promethazine adverse reaction	promethazine bijwerking
rigid endoscope	starre endoscoop
detection of ribonucleic acid of SARS-CoV-2	detectie van RNA van SARS-CoV-2
gastric electrical stimulation system	gastro-elektrisch stimulatiesysteem
thorium radioisotope	thorium-radio-isotoop
quinidine polygalacturonate	kinidinepolygalacturonaat
structure of basal inferior segment of left cardiac ventricle	structuur van basaal inferieur segment van linker ventrikel
obstetrical monitoring/analysis software	verloskundige monitoring/analysesoftware
chromophobe renal cell carcinoma	chromofoob niercelcarcinoom
ribosomal ribonucleic acid operon	ribosomaal RNA-operon
lingular pneumonia	pneumonie van lingula pulmonis
aortic structure	structuur van aorta
excision of lesion of inguinal region	excisie van afwijkend weefsel van liesgebied
referral to clinical allergy service	verwijzen naar afdeling klinische allergologie
thigh structure	structuur van bovenbeen
tobramycin poisoning of undetermined intent	vergiftiging door tobramycine met onbepaalde intentie
plasma cell granuloma	plasmacelgranuloom
rhinoscleroma	rhinoscleroom
accidental oxazepam poisoning	accidentele vergiftiging door oxazepam
entire skin of lateral border of hand	gehele huid van laterale rand van hand
GER tubular array	tubulaire rangschikking van ruw ER
flinging movement	slingerende beweging
mathematical statistician	mathematisch statisticus
malignant tumor involving right fallopian tube by direct extension from vagina	maligne neoplasma met betrokkenheid van rechter tuba Fallopii met doorgroei vanuit vagina
BRAF inhibitor	BRAF-remmer
congenital cardiac diverticulum	congenitaal divertikel van ventrikel van hart
reconstruction of nose with bone graft and skin flap	reconstructie van de neus met bot greffe en huidflap
mandibular gingiva	gingiva mandibularis
seventh rotator thoracis	musculus rotator thoracis van vertebra thoracica VII en VIII
mucosal sclerosis	mucosale sclerose
dorsal spinal cord	thoracale deel van ruggenmerg
streptomyces globosus	Streptomyces globosus
transient global amnesia	passagère algehele amnesie
acrylate	acrylaat
benign neuroendocrine neoplasm of large intestine	goedaardig neuro-endocrien neoplasma van de dikke darm
history of maternal psychiatric problem	voorgeschiedenis met psychische stoornis bij moeder
spinal cord tissue structure	structuur van weefsel van medulla spinalis
attic of left mastoid	linker epitympanum
frozen tissue section sample	preparaat van vriescoupe van weefsel
skin structure of plantar surface of second toe	structuur van huid van plantair oppervlak van tweede teen
accident caused by lino cutter	ongeval veroorzaakt door linoleumsnijder
melanocytic nevus of lower limb	moedervlek van onderste ledemaat
angioplasty of internal carotid artery	angioplastiek van arteria carotis interna
entire accessory nerve	gehele elfde hersenzenuw
excision of lesion of middle ear	excisie van afwijkend weefsel van middenoor
flavonol-3-O-beta-glucoside O-malonyltransferase	flavonol-3-O-bèta-glucoside O-malonyltransferase
cryotherapy to splanchnic sympathetic nerve	cryotherapie van splanchnische sympathische zenuw
frontal angle of parietal bone	angulus frontalis ossis parietalis
siccardi syndrome	syndroom van Siccardi
manage taking patient vital signs	beheer van meten van vitale functies van patiënt
repair of obstetric laceration of bladder and urethra	operatief herstel van obstetrische laceratie van vesica urinaria en urethra
autosomal dominant Charcot-Marie-Tooth disease type 2G	autosomaal dominante hereditaire motorische en sensorische neuropathie type 2G
total replacement of right hip joint	volledig vervangen van rechter heupgewricht
intentional thiopental sodium overdose	opzettelijke overdosis thiopentalnatrium
social behaviour	sociaal gedrag
entire articular disc of sternoclavicular joint	gehele discus van SC-gewricht
accidental oxypertine poisoning	onopzettelijke intoxicatie door oxypertine
bone structure of proximal fibula	botstructuur van proximale fibula
female therapist - female patient sexual psychotherapy	psychoseksuele therapie van vrouwelijke patiënt door vrouwelijke therapeut
brow presentation - delivered	voorhoofdsligging - bevallen
mini-abdominoplasty	mini-abdominoplastiek
dermoid cyst of conjunctiva of left eye	dermoïdcyste van conjunctiva van OS
lung perfusion study with Tc99m-albumin	longperfusiescintigrafie met Tc-99m en MAA
contact isolation	contactisolatie
radiography of facial bones	röntgenfoto van bot van aangezicht
neck positional nystagmus	positienystagmus afhankelijk van halspositie en/of nekpositie
traumatic blister of ankle	traumatische bulla van enkel
prolymphocytic leukaemia	prolymfocytenleukemie
knee joint effusion	effusie van kniegewricht
syndromic multisystem autoimmune disease due to itchy E3 ubiquitin protein ligase deficiency	syndromale multisystemische auto-immuunziekte door deficiëntie van 'E3 ubiquitin-protein ligase Itchy homolog'
sporomusa silvacetica	Sporomusa silvacetica
page kidney	Page-nier
salmonella agama	Salmonella Agama
sialoadenitis of the sublingual gland	sialoadenitis van ondertongspeekselklier
lactobacillus sanfrancisco	Lactobacillus sanfrancisco
difficulty coughing voluntarily	vrijwillig hoesten: moeilijk
gyromitra infula	Gyromitra infula
postoperative progressive diet	postoperatief aansterkingsdieet vloeibaar en/of vast op basis van tolerantie
acquired pronation deformity of right ankle	verworven pronatiedeformiteit van rechter enkel
structure of body of third thoracic vertebra	structuur van corpus van vertebra thoracica III
electrophoresis haptoglobin measurement	bepalen van haptoglobine met behulp van elektroforese
product containing precisely dofetilide 500 microgram/1 each conventional release oral capsule	product dat precies dofetilide 500 microgram/1 elke conventionele mondcapsule bevat
accidental flurbiprofen overdose	accidentele overdosis flurbiprofen
intrinsic incubation period	intrinsieke incubatietijd
entire male genital vein	gehele ader van mannelijk geslachtsorgaan
infection by Cucullanus	infectie door Cucullanus
entire metatarsophalangeal joint of third toe	gehele MTP-III
gastric contractility modulation system lead	geleidingsdraad voor systeem voor gastrische contractiliteitsmodulatie
congenital malformation caused by cytotoxic agents	congenitale malformatie door cytostaticum
difficulty inferring meaning	moeite met begrijpen
neoplasm of uncertain behaviour of trachea	neoplasma van trachea met twijfelachtig maligne potentieel
open fracture dislocation acromioclavicular joint	open fractuur en luxatie van het acromioclaviculair gewricht
altered from its original anatomical structure body structure	gewijzigd ten opzichte van oorspronkelijke anatomische structuur lichaamsstructuur
vibratory intravascular recanalisation system catheter/handpiece	katheter of handstuk voor intravasculair rekanalisatiesysteem
silo-fillers' disease	Silovullers ziekte
subfoveal hemorrhage	subfoveale bloeding
acrofacial dysostosis Palagonia type	Palagonia-type acrofaciale dysostose
structure of tympanic cavity of left ear	structuur van linker cavitas tympani
bone structure of phalanx of left foot	phalanx digiti van linker voet
provision of footwear	verschaffen van schoeisel
fine dispersion	fijne spreiding
significant coronary bypass graft disease	atherosclerose van 'coronary artery bypass graft'
floor/equipment/cloth electrical conductivity tester	apparatuur en/of kleding geleidingstester voor vloer
dyssomnia	dyssomnie
biopsy from female perineum	biopsie van perineum van vrouw
candida thermophila	Candida thermophila
intermediate revision rhinoplasty	intermediaire revisie van rinoplastiek
genus Calypte	geslacht Calypte
entire meningeal tissue	geheel meningeaal weefsel
increase	toename
sternocleidomastoid myocutaneous flap	sternocleidomastoide myocutane flap
parachute malformation of common atrioventricular valve	parachuteachtige malformatie van gemeenschappelijke atrioventriculaire klep
microscopic examination of specimen from nervous system for parasites	microscopisch onderzoek van monster uit zenuwstelsel naar parasiet
history of transient ischemic attack	'transient ischemic attack' in anamnese
urinary catheter procedure	verrichting met urinekatheter
carcinoma in situ of vas deferens	carcinoma in situ van ductus deferens
disorder of central nervous system co-occurrent and due to acute lymphoid leukaemia in remission	aandoening van centraal zenuwstelsel gelijktijdig met en door acute lymfatische leukemie in remissie
diaphragm use education	voorlichten over gebruik van pessarium occlusivum
lower lip	onderlip
application of plaster figure of eight which is elbow to finger	exclusief duim aanleggen van achtvormig gipsverband van elleboog tot vinger
sphenoid sinus gland	klier van wiggenbeenholte
mother-daughter symbiotic syndrome	syndroom van symbiotische moeder-dochterrelatie
fissure seal tooth	sealen van fissuur van tand
reusable general obstetrical/gynaecological surgical procedure kit, non-medicated	herbruikbare set voor obstetrische of gynaecologische chirurgische ingreep zonder medicatie
estrilda troglodytes	Estrilda troglodytes
structure of pelvirectal compartment	pelvirectale ruimte
bacterial protein	bacterieel eiwit
abrasion and/or friction burn of hip with infection	geïnfecteerde brandwond door wrijving en/of abrasie van heup
donovanosis - anogenital ulcer	inguïnaal granuloom met anogenitale ulcus
product containing precisely senna 7.5 milligram/1 each conventional release oral tablet	product dat precies senna 7,5 milligram/1 elk conventioneel vrijgave oraal tablet bevat
entire extensor carpi ulnaris	gehele musculus extensor carpi ulnaris
MRI of left upper arm with contrast	MRI van linker bovenarm met contrast
hemoglobin A measurement	hemoglobine A-meting
metatarsal articular facet of second metatarsal	metatarsale fovea articularis van os metatarsale II
varicella-zoster virus infection	infectieziekte door varicella-zostervirus
benign neoplasm of obturator lymph nodes	benigne neoplasma van nodus lymphoideus obturatorius
re-entrant atrioventricular node tachycardia	atrioventriculaire nodale reciproke tachycardie
inguinal canal	canalis inguinalis
transport vesicle of Golgi complex	transportblaasje van golgiapparaat
colloidal iodine	colloïdaal jodium
entire extrapancreatic portion of common bile duct	geheel extrapancreatisch gedeelte van ductus choledochus
progressive aphasia in Alzheimer disease	Alzheimer-dementie met progressieve afasie
oceanisphaera litoralis	Oceanisphaera litoralis
alpha ketoadipic aciduria	alfa-ketoadipineacidurie
hypercholesterolemia food	hypercholesterolemievoeding
flour	bloem
osteoarthritis of pelvis	artrose van bekken
correction of tetralogy of Fallot using valved right ventricular outflow conduit	operatief herstel van tetralogie van Fallot met klepdragende conduit in uitstroombaan van rechter hartkamer
structure of right glossopharyngeal nerve	rechter hersenzenuw IX
hypothyroidism resulting from resorcinol	resorcinol hypothyroïdie
glass in hip	glas in heup
therapeutic lumbar epidural injection	injectie van therapeutisch agens in lumbale epidurale ruimte
family history: Atopy	atopisch syndroom in familieanamnese
LT 62-68	LT 62-68
magnesium trisilicate overdose of undetermined intent	overdosis magnesiumtrisilicaat met onbekende intentie
medial fasciotomy with annular ligament of finger resection	exclusief digitus I mediale fasciotomie met resectie van annulair ligament van digitus van hand
reinsertion of holter valve into brain	opnieuw inbrengen van Holter-klep in hersenen
entire superficial venous system of lower extremity	gehele systema venae profundae van membrum inferius
substance use treatment: alcohol withdrawal	behandeling bij alcoholonthouding
brainstem death	hersenstamdood
infiltrating lobular mixed with other types of carcinoma	infiltrerend lobulair carcinoom gemengd met andere vormen van carcinoom
abscess of Cowper's gland	abces van Cowper-klier
suicide - jumping from a high place	suïcide door middel van sprong van hoogte
escherichia coli serogroup O20	Escherichia coli serogroep O20
deficiency of creatine kinase	creatine kinase deficiëntie
coarctation of aortic arch	coarctatie van aortaboog
open excision of stricture of ureter	open excisie van strictuur van ureter
measurement of ratio of citrate to creatinine	bepalen van verhouding tussen citraat en creatinine
entire right inguinal region	gehele rechter liesstreek
falx inguinalis	falx inguinalis
impaired tissue integrity	verminderde weefselintegriteit
infected discoid eczema	geïnfecteerd discoïde eczeem
entire carotid body	gehele glomus caroticum
juvenile polymyositis	juveniele polymyositis
systemic Epstein-Barr virus positive T-cell lymphoproliferative disease of childhood	ernstige pancytopenie en een snelle evolutie naar multi-orgaanfalen en hemofagocytair met dodelijke afloop. De ziekte wordt gekarakteriseerd door klonale proliferatie van EBV-geïnfecteerde T-cellen met een geactiveerd cytotoxisch fenotype. Systemische Epstein-Barr-virus (EBV)-positieve T-cel lymfoproliferatieve ziekte van de kindertijd is een zeldzame en zeer agressieve neoplastische ziekte die opkomt na een primaire acute of chronische actieve EBV-infectie. De ziekte uit zich met aanhoudende koorts en malaise, hepatosplenomegalie met of zonder lymfadenopathie, leverfalen
rifampin overdose	overdosis rifampicine
structure of lymphoreticular system	structuur van lymforeticulair systeem
giant cell arteritis without polymyalgia rheumatica	reuscelarteriitis zonder polymyalgia rheumatica
structure of extensor tendon of foot	structuur van extensorpees van voet
ribs or sternum grafting of bone of thorax	rib of sternum graften van bot van thorax
peritendineum	structuur van peritendineum
subacromial bursitis of left shoulder	ontsteking van bursa subacromialis van linker schouder
enteromesenteric bridge operation	enteromesenteriale bypassoperatie
finding of diet followed	bevinding betreffende gevolgd dieet
history of photodynamic therapy	fotodynamische therapie in anamnese
mucous membrane of transverse colon	slijmvlies van colon transversum
flexible video sinoscope	flexibele videosinusscoop
cleft of primary palate	spleet van het primaire gehemelte
biliary cirrhosis	biliaire cirrose
on examination - visual acuity left eye=6/12	bij onderzoek - gezichtsscherpte linkeroog=6/12
suprasellar syndrome	suprasellair syndroom
cryocautery	cryocaustiek
congenital hypoplasia of metatarsal bone	congenitale hypoplasie van os metatarsale
structure of thoracolumbar region of back	structuur van regio thoracolumbalis van rug
entire bone of proximal carpus	geheel bot van proximale handwortelbeentjes
congenital hypoplasia of arch of sacral vertebra	congenitale hypoplasie van arcus van sacrale wervel
paraneoplastic motor neurone disease	paraneoplastische motorneuronziekte
occlusive mesenteric ischemia	occlusieve mesenteriale ischemie
cardiotocography telemetric monitoring system receiver	ontvanger voor telemetrisch monitoringssysteem voor cardiotocografie
postoperative transmural myocardial infarction of anterior wall	postoperatief transmuraal myocardinfarct van voorwand
removal of lesion of lip	verwijderen van afwijkend weefsel van lip
measles virus antibody	mazelenvirusantilichaam
CT of abdomen and pelvis with oral contrast	CT-scan van abdomen en pelvis met oraal contrastmiddel
splinter of upper arm which is without major open wound	splinter in bovenarm zonder grote open wond
blastocystis hominis infection	infectie door Blastocystis hominis
destruction of peritoneal tissue	destructie van peritoneum
insertion of drain into neck using ultrasound guidance	insertie van drain in hals en/of nek onder echogeleide
cotton suture	katoenen hechtdraad
transient decreased production of T>3<	passagère verminderde productie van tri-jodothyronine
injection of bone marrow for local action	injectie in beenmerg voor lokaal effect
legal abortion with parametritis	abortus provocatus lege artis met parametritis
tromethamine	tromethamine
gastrojejunostomy	derivatieve gastro-jejunostomie
diagnostic block anesthesia	diagnostische blokkade
administration of final dose of tetanus vaccine	toedienen van laatste tetanusvaccin
computed tomography of internal auditory meatus with contrast	computertomografie met contrast van meatus acusticus internus
cardiac resynchronization therapy implantable defibrillator	CRT-D-pacemaker
entire distal portion of ileum	gehele pars terminalis ilei
desulfosporosinus auripigmenti	Desulfosporosinus auripigmenti
adaptive behavior: newborn	aanpassingsgedrag: pasgeborene
entire sixth subcostal muscle	volledige zesde subcostale spier
herpetomonas muscarum	Herpetomonas muscarum
product containing colestipol	product dat colestipol bevat
parrot beak tear of posterior horn of lateral meniscus	papegaaibek scheur van achterhoorn van laterale meniscus
coronary care nurse	hartbewakingverpleegkundige
cervical plexus structure	structuur van plexus cervicalis
fetal or neonatal effect of prolapsed cord	gevolgen van geprolabeerde navelstreng voor foetus of pasgeborene
injury of artery of lower limb	letsel van arteria membri inferioris
unable to mobilize using mobility aids	niet in staat om te mobiliseren met behulp van mobiliteitshulpmiddelen
skin structure of female perineum	structuur van huid van perineum van vrouw
escherichia coli serotype O121:H19	Escherichia coli serotype O121:H19
primary squamous cell carcinoma of upper third of oesophagus	primair plaveiselcelcarcinoom van bovenste derde deel van oesofagus
deoxycorticosteroids measurement	bepalen van deoxycorticosteroïden
family Plasmodiidae	familia Plasmodiidae
acute lymphangitis caused by bacterium	acute lymfangitis door bacterie
percutaneous transluminal angioplasty of internal jugular vein using fluoroscopic guidance	PTA van vena jugularis interna onder doorlichting
pink tympanic membrane	roze membrana tympani
structure of Descemet's membrane of right eye	structuur van Descemet's membraan van het rechteroog
vomero-premaxillary faciosynostosis	vomero-premaxillaire faciosynostose
fracture of basilar portion of occipital bone	fractuur van pars basilaris van os occipitale
rehabilitation hospital	revalidatie-instelling
tenectomy of levator palpebrae	tenectomie m.levator palpebralis
closed reduction - action	gesloten repositie
genus Salana	genus Salana
entire C3/C4 intervertebral foramen	geheel tussenwervelgat van wervel C3
xanthelasma of right lower eyelid	xanthelasma van rechter onderooglid
wide local excision of breast lesion	brede lokale excisie van laesie van mamma
muscle spasticity of spinal origin	spinale spasticiteit
order Arthoniales	orde Arthoniales
aerosol pulmonary ventilation study	scintigrafie van longventilatie met aerosol
sarcoma of vertebra	sarcoom van wervel
trigeminal neurotripsy	neurotripsie van vijfde hersenzenuw
echinostoma lindoense	Echinostoma lindoense
neoplasm of uncertain behaviour of greater curvature of stomach	neoplasma van curvatura ventriculi major met onzeker maligne potentieel
stereotypic movement disorder without self-injurious behaviour	stereotiepe-bewegingsstoornis zonder zelfbeschadigende handelingen
romberg's syndrome	syndroom van Romberg
anti-D immunoglobulin given	antiresusimmunoglobuline toegediend
laparoscopic repair of recurrent lumbar hernia using synthetic mesh	laparoscopisch operatief herstel van recidief hernia lumbalis met synthetische mesh
periorbital hematoma	raccoon eyes
product containing fluphenazine	product dat flufenazine bevat
cellulitis of palm of hand	cellulitis van handpalm
digestive organ structure	structuur van spijsverteringsorgaan
injury of intestine with open wound into abdominal cavity	letsel van darm met open wond naar buikholte
specimen from nasal fossae obtained by biopsy	biopt van neusholte
dissociative auditory hallucinations	dissociatieve auditieve hallucinaties
structure of mucous membrane of frontal sinus	structuur van tunica mucosa van sinus frontalis
subacute endometritis	acute en chronische ontsteking van tunica mucosa uteri
pulsation at vaginal fornix	polsslag ter hoogte van fornix uteri
fletcher factor deficiency	deficiëntie van Fletcher-factor
trophozoite of Naegleria fowleri	trofozoiet van Naegleria fowleri
entire vertebral foramen of axis	gehele foramen vertebrale van axis
intentional haloperidol overdose	opzettelijke overdosis haloperidol
aplasia of the vermis	aplasie van worm van kleine hersenen
tabun - nerve agent	tabun - zenuwgas
pathological fracture of pelvis due to neoplastic disease	pathologische fractuur van bekken door neoplasma
transurethral transection of the bladder	transurethrale transsectie van blaas
computed tomography of both calcanea with contrast	computertomografie van beide calcanea met contrast
grey colour	grijze kleur
finger/thumb prosthesis	vinger-/duimprothese
reusable manual intraocular lens injector	herbruikbare handbediende intraoculaire lensinjector
gonococcal salpingitis	salpingitis door Neisseria gonorrhoeae
manipulation of the lower limb - non-surgical	niet-operatieve manipulatie van onderste ledemaat
projection during fixation - accurate	goede projectie tijdens fixatie
hypertrichosis with congenital macrogingivae	hypertrichose met congenitale macrogingiva
cresol and its derivatives	cresol en cresolderivaten
entire transplanted kidney	gehele getransplanteerde nier
preparation of written report for lawyer	opstellen van schriftelijk verslag voor advocaat
STEC (Shiga toxin-producing Escherichia coli) serogroup O149	STEC serogroep O149
benign prostatic hypertroph without outflow obstruction	BPH zonder obstructie
selegiline overdose of undetermined intent	overdosis selegiline met onbepaalde intentie
acute gastric ulcer without haemorrhage AND without perforation but with obstruction	acuut ulcus pepticum zonder bloeding en zonder perforatie maar met obstructie
anal sphincter	anale sfincter
fluoroscopic arthrography of bilateral temporomandibular joints	fluoroscopisch geleide artrografie van beide kaakgewrichten
blepharitis of left lower eyelid	blefaritis van linker onderooglid
idiopathic pulmonary fibrosis	idiopathische pulmonale fibrose
entire anterior chamber and lens of eye	gehele camera anterior bulbi en/of lens
anacardiaceae family nut	noot van Anacardiaceae
pituitary gonadotropin	hypofysair gonadotrofine
congenital absence of right hand	aangeboren afwezigheid van rechter hand
specimen from sympathetic nerve ganglion obtained by biopsy	biopt van ganglion van sympathische zenuw
common peroneal nerve block	blokkade van nervus fibularis
q fever pericarditis	Q-koorts met pericarditis
anomalous origin of ductus arteriosus from left carotid artery	afwijkende origo van ductus arteriosus uit linker arteria carotis
phyllanthus engleri	Phyllanthus engleri
injection of therapeutic substance into temporomandibular joint	injectie van therapeuticum in TMG
occlusion of renal artery bypass graft	afsluiting van bypass met graft van nierarterie
ghormley operation for hip fusion	artrodese van heupgewricht volgens Ghormley
dumpling	knoedel
endocrine studies	onderzoek van endocriene functie
posterior wall of body of stomach	achterwand van corpus gastricum
acidovorax anthurii	Acidovorax anthurii
entire phalanx of great toe	geheel kootje van grote teen
computed tomography of abdomen for radiotherapy planning	computertomografie van abdomen ter voorbereiding op radiotherapie
urostomy present	urostoma aanwezig
closed excisional biopsy of nerve ganglion	excisiebiopsie van ganglion van zenuwstelsel met gesloten benadering
deep pes anserinus	pes anserinus profundus
articular disc of sternoclavicular joint	gewrichtsschijf van sternoclaviculair gewricht
plasma random high density lipoprotein cholesterol measurement	bepalen van niet-nuchtere 'high-density lipoprotein'-cholesterolwaarde in plasma
environment contains uncontrolled animal	omgeving met ongecontroleerd dier
maxillary sinus endoscopy with removal of fungus ball	endoscopie van sinus maxillaris met verwijdering van schimmelmassa
repair of spondylolysis using hook screw	chirurgisch herstel van spondylolyse met haakschroef
engraving pantograph operator	operator van de gravurestroomafnemer
surface of twelfth rib	structuur van oppervlak van twaalfde rib
history of artificial blood vessel	geschiedenis van kunstbloedvaten
entire Pacchionian granulation	gehele granulatio Pacchionii
laser uvulectomy and palatal scarring	uvulectomie met laser en verlittekening van palatum
intentional flucloxacillin overdose	opzettelijke overdosis flucloxacilline
removal of intraluminal foreign body from bronchus by bronchoscopy	bronchoscopisch verwijderen van intraluminaal corpus alienum uit bronchus
chronic inflammation	chronische inflammatie
hydrops foetalis due to isoimmunization	hydrops foetalis door iso-immunisatie
local muscle rotation flap	reconstructie met lokale rotatielap van spier
neoplasm of bone of foot	neoplasma van os pedis
infection by Platynosomum	infectieziekte door genus Platynosomum
inflammatory disorder of immune system	inflammatoire aandoening van immuunsysteem
does not empty bath	maakt het bad niet leeg
alternative medicines adverse reaction	alternatieve geneesmiddelenbijwerking
biopsy of abdominal mass	biopsie van RIP van buik
plasma cholesterol/high density lipoprotein ratio measurement	bepalen van verhouding tussen cholesterol en 'high density'-lipoproteïne in plasma
insertion of Rickham reservoir	insertie van Rickham-reservoir
asphyxia by strangulation	verstikking door wurging
magnetic resonance imaging of cerebral vessels	magnetic resonance imaging van cerebrale bloedvaten
autosomal recessive lymphopenic agammaglobulinemia	autosomaal recessieve agammaglobulinemie
talma-Morison operation which is omentopexy	omentopexie volgens Talma-Morison
specimen from vein obtained by biopsy	biopt van vene
