gastric aspirate present	ventrikelaspirat påvist
home oxygen supply started	oxygenbehandling i hjemmet påbegyndt
gas endarterectomy of abdominal artery	Gasendarterektomi af abdominalarterie
civil engineering technician	tekniker beskæftiget inden for bygningsingeniørfag
resection of thoracic artery with replacement	Resektion af thoraxarterie med udskiftning
pneumococcal septicaemia	pneumokokseptikæmi
toxic noninfectious hepatitis	Toksisk ikke-infektiøs hepatit
kaistella koreensis	Kaistella koreensis
questionnaire history taking, self-administered	spørgeskema anamneseoptagelse, selvadministreret
polychlorinated biphenyl poisoning	forgiftning med polychloreret biphenyl
triphasic waves	Trefasede bølger
spencer technique	Spencer-teknik
palestina virus	Palestina-virus
indole-3-acetaldehyde oxidase	Indole-3-acetaldehydoxidase
partial denture repair or replace broken clasp	delprotese Reparation eller udskiftning af knækket bøjle
dengue fever	denguefeber
isotope static cystography	statisk skintigrafi af cyste
sialodochoplasty using fluoroscopic guidance	sialodokoplastik ved anvendelse af røntgengennemlysning
salmonella bardo	Salmonella Bardo
poisoning by butyrophenone-based tranquilizer	forgiftning med butyrophenon-baseret beroligende middel
microchip identification implant	implantat med mikrochipidentifikation
oral use	oral anvendelse
arcus juvenilis	arcus juvenilis
entire ligament of trunk	ligament som helhed i truncus
heterosexual	Heteroseksuel
conversational skills training	træning i samtalefærdigheder
excision of excessive skin and subcutaneous tissue of abdomen	Excision af overskydende hud og subkutant væv i abdomen
services	tjenester
hypervariable region immunoglobulin	hypervariabel region immunglobulin
multiple neurofibromas in neurofibromatosis	Multiple neurofibromer ved neurofibromatose
systolic ejection sound	Systolisk uddrivningslyd
vigabatrin poisoning	forgiftning med vigabatrin
removed from waiting list	fjernet fra venteliste
iopromide 300 mg i/mL injection solution 50mL bottle	flaske a 50 ml iopromid 300 mg i/ml injektionsvæske, opløsning
retinoschisis	Retinoschisis
structure of anterior sternoclavicular ligament	struktur af  ligamentum sternoclaviculare anterius
characteristic of psychological perception	træk vedr. psykologisk perception
medical consultation on nursing facility inpatient	lægekonsultation om patient indlagt på plejeinstitution
hexamine hippurate 1g tablet	hexaminhippurat tablet 1 g
pseudonocardia saturnea	Pseudonocardia saturnea
thoracic ligamentum flavum	torakalt ligamentum flavum
nocardia alba	Nocardia alba
mycobacterium triplex	Mycobacterium triplex
ventricular insertion of permanent pacemaker with transvenous electrodes	indsættelse af transvenøs kardiel pacemaker med ventrikulær elektrode
retinol binding protein / creatinine ratio measurement	måling af retinolbindende protein/creatinin-ratio
structure of calcaneal apophysis	struktur af calcaneusapofyse
unilateral recurrent femoral hernia with gangrene AND obstruction	Recidiverende unilateralt  femoralhernie med gangræn OG obstruktion
sumatriptan 4mg injection solution prefilled cartridge	fyldt cylinderampul a 4 mg sumatriptan injektionsvæske, opløsning
discharge by obstetrician and gynaecologist	udskrivelse foretaget af obstetriker og gynækolog
hypertrophy	hypertrofi
cardiac dullness to percussion diminished	Kardiel dæmpning ved perkussion mindsket
distinctive form of glycocalyx	distinktiv form af glycocalyx
radiation therapy care education	undervisning i pleje ved strålebehandling
chronic tension-type headache	kronisk hovedpine af spændingstype
supervisor: telephone operators	chef for telefonoperatører
65	65
thyroid arteries ligated	underbinding af thyroideaarterier
crowns and bridges inlays	kroner og broer Indlæg
osteoarthritis  which is of knee	i knæ Osteoartrit, ikke nærmere specificeret
other specified other operation on kidney	Anden specificeret operation på nyren
lateral cutaneous branch T12 injury	traumatisk læsion af laterale kutane gren af T12
traumatic injury of digital nerve of hand	traumatisk læsion af digital nerve i hånd
Miyoshi type distal muscular dystrophy	Miyoshi-type Distal muskeldystrofi
structure of mastoid emissary vein	struktur af vena emissaria mastoidea
sequelae of fracture at wrist and hand level	følgetilstande af fraktur i håndleds- og håndniveau
streptococcal omphalitis	streptokokomfalit
sportsmen and related workers other athletes	sportsmænd og relaterede beskæftigelser andre atleter
dermatitis of eyelid	Dermatit af øjenlåg
deficiency of choline-phosphate cytidylyltransferase	cholinphosphatcytidylyltransferasemangel
human adenovirus 51	humant adenovirus 51
craterellus fallax	Craterellus fallax
gene therapy	genterapi
adverse reaction caused by chiniofon	bivirkning af chiniofon
able to release grip	i stand til at slippe et greb
admission by geriatric medicine physician	indlæggelse foretaget af geriater
magnetospirillum gryphiswaldense	Magnetospirillum gryphiswaldense
cyclophosphamide 100mg/vial powder for injection	cyclophosphamid 100 mg/hætteglas pulver til injektionsvæske
dried blood in external ear canal	Indtørret blod i ydre øregang
pupil margin	pupilrand
chest expansion normal	Torakal ekspansion normal
primary malignant neoplasm of skin of groin	Primært malignt neoplasme i lyskehud
revision of peritoneal-venous shunt	Revision af peritoneal-venøs shunt
liquid pressure	Væsketryk
skin over head of metatarsal bone	hud over caput på metatarsalknogle
kilnman	køllemand
superficial burn of thigh	Forbrændingserytem på lår
testes biopsy sample	biopsiprøve fra testes
salicylic acid 12% / Lactic acid 4% gel	salicylsyre 12 % + mælkesyre 4 % gel
lymphatic system destructive procedure	Destruktivt indgreb på lymfesystemet
cardiovascular disease monitoring not required	monitorering af kardiovaskulær sygdom ikke nødvendig
flashing lights seen	Ser blinkende lys
urokinase	urokinase
waveform observable	træk vedr. kurve
hypernasal voice	Hypernasal stemme
other childhood psychoses	ikke nærmere specificeret Andre psykoser i barndommen
passenger of motor vehicle injured noncollision motor vehicle traffic accident involving jump from motor vehicle whilst in motion	personskade på passager i motorkøretøj trafikuheld med motorkøretøj uden kollision omfattende spring fra motorkøretøj i bevægelse
ciprofloxacin hydrochloride 100 mg oral tablet	ciprofloxacinhydrochlorid 100 mg tablet
prolonged labor	Langvarig fødsel
fistula of mastoid	processus mastoideus-fistel
ferrous sulphate overdose of undetermined intent	uvist med hvilken hensigt overdosis af ferrosulfat
displacement of thoracic intervertebral disc without myelopathy	Forskydning af torakal intervertebral discus uden myelopati
salmonella guinea	Salmonella Guinea
radiculectomy	Radikulektomi
on examination - paranoid delusions	objektivt: paranoide vrangforestillinger
motor vehicle on road in collision with safety island	motorkøretøj på vej i kollision med helle
fungal pneumonia	mykotisk pneumoni
nesterenkonia sandarakina	Nesterenkonia sandarakina
mixed intestinal helminthiasis	Blandet intestinal helminthiasis
azathioprine overdose of undetermined intent	uvist med hvilken hensigt overdosis af azathioprin
six times a week	seks gange om ugen
liver cell adenoma	levercelleadenom
finding of bone marrow myeloid cells	fund vedr. myeloidceller i knoglemarv
combination therapy to neck	kombinationsbehandling af hals
carcinoma of main bronchus	Karcinom i hovedbronkie
endotracheopulmonary solution	endotrakeopulmonal opløsning
dysfibronectinaemic ehlers-Danlos syndrome	dysfibronektinæmisk Ehlers-Danlos' syndrom
specimen from kidney obtained by radical nephrectomy	prøve fra nyre indhentet ved radikal nefrektomi
chronic pain	Kroniske smerter
inappropriate firing of muscle	Ubelejlig muskelaktivering
fluocinolone acetonide+neomycin sulfate 0.025%/0.5% cream	fluocinolonacetonid + neomycinsulfat 0,025 %/0,5 % creme
repair of bifid finger	udbedring af anden bifid finger end tommelfinger
non-diabetic hypoglycaemic coma	ikke-diabetisk hypoglykæmisk coma
epstein Barr virus viral capsid antigen IgM level	niveau af IgM Epstein-Barr-virus-viralcapsid-antigen
secondary localised osteoarthrosis of lower leg	Lokaliseret sekundær osteoartrit i underben
biopsy of liver lesion	Biopsi af leverlæsion
special male test not done	særlig test for mænd ikke udført
family Beutenbergiaceae	familien Beutenbergiaceae
transplantation of hand muscle	transplantation af håndmuskel
maintained	opretholdt
superficial injury of nose with infection	Overfladisk traumatisk læsion af næsen med infektion
chitobiosyldiphosphodolichol alpha-mannosyltransferase	chitobiosyldiphosphodolichol-alpha-mannosyltransferase
branch of lingual artery	gren af arteria lingualis
or mandible pT4a: Tumor invades the larynx, deep/extrinsic muscle of tongue, medial pterygoid muscle, hard palate	den hårde gane eller mandibula pT4a: tumor med indvækst i larynx, den dybe/eksterne tungemuskel, mediale pterygoide muskel
second levator costarum	2. musculus levator costarum
edema of breast	ødem af mamma
color of cervix	cervix' farve
superficial injury of elbow	ikke nærmere specificeret Overfladisk læsion af albue
entire superior articular process of seventh cervical vertebra	processus articularis superior på 7. halshvirvel som helhed
hereditary epistaxis	hereditær epistaxis
specimen from patient	Prøve fra patient
combined immunisation against bacterial and viral disease	kombineret immunisering mod bakterielle og virale sygdomme
jaw fracture	ikke nærmere specificeret Kæbefraktur
automated pure tone audiometry	Automatisk rentoneaudiometri
dpm	dpm
adrenal insufficiency due to adrenal metastasis	adrenal insufficiens som følge af adrenal metastase
salmonella typhimurium antibody assay	analyse for Salmonella typhimurium-antistof
fourth cervical spinal cord segment	4. cervikale rygmarvssegment
salmonella IIIb 59:(k):z	Salmonella IIIb 59:(k):z
forme fruste	forme fruste
post-laminectomy kyphosis	kyfose efter laminektomi
practice manager	praksisleder
visual pathway disorder due to neoplasm	synsbanesygdom forårsaget af neoplasme
acquired nonhypertrophic constriction of pylorus	Erhvervet ikke-hypertrofisk pyloruskonstriktion
palm of hand	håndflade
t3b (IIIB): Fallopian tube/ovarian tumor with macroscopic peritoneal metastasis beyond pelvis < 2 cm in greatest dimension	T3b (IIIB): Tumor i tuba uterina/ovarium med makroskopisk peritoneal metastase uden for pelvis og største udstrækning under 2 cm
untoward skin test reaction	utilsigtet reaktion på kutantest
recombinant human follicle stimulating hormone alpha 450iu injection (pdr for recon)+diluent	pulver til rekonstitution + solvens rekombinant humant follikelstimulerende hormon alfa 450 IE injektionsvæske
perinatal jaundice due to congenital obstruction of bile duct	perinatal icterus forårsaget af galdegangsobstruktion
left ventricle basal anterolateral segment	venstre ventrikels basale anterolaterale segment
structure of parotid plexus of facial nerve	struktur af ørespytkirtelpleksus af nervus facialis
aspiration of ganglion - ankle	aspiration fra ganglie i ankel
indanedione anticoagulant	antikoagulans indeholdende indanedion
platelet aggregation with calcium ionophore test	trombocytaggregation med calciumionofortest
intraluminal brachytherapy	intraluminal brakyterapi
acinetobacter gerneri	Acinetobacter gerneri
eye drops	øjendråber
occupational therapist	ergoterapeut
lymphoepithelioid lymphoma	lymfoepiteloidt lymfom
accidental clarithromycin poisoning	accidentel forgiftning med clarithromycin
closed reduction of dislocation of glenohumeral joint and fracture of surgical neck of humerus	lukket reponering af luksation af articulatio humeri og fraktur af collum chirurgicum humeri
foetal disproportion	Mekanisk misforhold med føtal årsag
incubation period	Inkubationstid
entire lateral surface of fifth toe	laterale overflade som helhed på 5. tå
chemical destruction of perivascular sympathetic nerve	Kemisk destruktion af perivaskulær sympatisk nerve
infected traumatic blister of buttock	inficeret Traumatisk blære på natis
reticulin fibril alteration	Reticulin fibrilforandring
other specified musculoskeletal disorders	Andre specificerede muskuloskeletale sygdomme
manifest nystagmus	manifest nystagmus
pseudomonas fluorescens group	Pseudomonas fluorescens-gruppe
distant cutaneous pedicle flap which is fasciocutaneous	rekonstruktion med fjern stilket fasciokutan lap
pulmonary candidiasis	pulmonal candidiasis
internal fixation of bone	ikke nærmere specificeret Intern fiksering af knogle
blue line on gingivae	Blå streg på gingiva
abnormal biorhythm	Abnorm biorytme
dicloxacillin sodium 500 mg oral capsule	dicloxacillinnatrium 500 mg kapsel
night porter	natportier
posterior lentiglobus	Posterior lentiglobus
entire obturator nerve posterior branch	posterior gren som helhed af nervus obturatorius
delayed female puberty	forsinket pubertet hos kvinde
finding related to ability to turn taps off	Fund vedr. evne til at lukke for haner
endoscopy of ileum	Ileumendoskopi
old lateral collateral ligament disruption	Gammel overrivning af lateralt korsbånd
tube mushroom	rørsvamp
ketotifen 1 mg oral tablet	ketotifen 1 mg tablet
sickness/invalidity benefit	sygdoms-/invaliditetsydelse
abrasion AND/OR friction burn of vulva with infection	Abrasion OG/ELLER friktionsforbrænding af vulva med infektion
laryngeal joint finding	Fund vedr. larynxsamling
anaerobic spore-forming Gram-positive bacillus	anaerob sporedannende grampositiv bacille
miotic cyst of iris	Miotisk cyste i iris
cryotherapy to pituitary gland	Kryoterapi af hypofysen
novobiocin sodium 250mg capsule	novobiocinnatrium kapsel a 250 mg
structure of frenulum labii superioris	Struktur af frenulum labii superioris
mycosis fungoides of intrapelvic lymph nodes	Mycosis fungoides i intrapelvine lymfeknuder
salmonella bama	Salmonella Bama
2-Oxoadipate measurement	måling af 2-oxoadipat
capillaria felis cati	Capillaria felis cati
down's screening - blood sent	blodprøve sendt screening for Downs syndrom
seen by urologist	Tilset af urolog
parietal subarachnoid space	parietalt subaraknoidalrum
prosthetic uncemented total elbow replacement	total ucementeret protetisk erstatning af albue
drainage of abscess of finger	drænage af absces på finger
selenomonas	Selenomonas
moth-eaten fibres	mølædte fibre
percutaneous drainage of liver	Perkutan drænage af leveren
aminopromazine fumarate	aminopromazinfumarat
flecainide acetate 50 mg oral tablet	flecainidacetat tablet 50 mg
mestranol preparation	mestranolpræparat
entire common carotid plexus	plexus caroticus communis som helhed
diffuse membranous glomerulonephritis acute nephritic syndrome	diffus membranøs glomerulonefrit Akut nefritisk syndrom
prednisone 2.5 mg oral tablet	prednison 2,5 mg tablet
prostaglandin analogue antiglaucoma preparation	prostaglandinganalog antiglaukompræparat
aura virus	Aura-virus
discharge from clinical cytogenetics service	udskrivelse fra klinisk cytogenetisk behandling
decompression of nerve via subclavian approach	Dekompression af nerve ved subclavia-adgang
congenital fistula of neck	Kongenit collumfistel
iohexol 240mg(I)/mL injection solution 20 mL vial	hætteglas a 20 ml iohexol 240 mg (I)/ml injektionsvæske, opløsning
inconsistent results on voice testing	Uoverensstemmende resultater ved stemmetest
inherited renal tubule insufficiency with cholestatic jaundice	hereditær renal tubulær insufficiens med kolestatisk icterus
aspirin + pentazocine hydrochloride 325mg tablet	acetylsalicylsyre + pentazocinhydrochlorid tablet a 325 mg
gelatinous atrioventricular valve leaflet in atrioventricular septal defect	gelatinøs atrioventrikulærklapflig ved atrioventrikulær septumdefekt
anhidrosis	Anhidrose
foreign body of skin of calf	Fremmedlegeme i huden på læg
angiofollicular lymph node hyperplasia which is hyaline-vascular type	hyalin-vaskulær type Angiofollikulær lymfeknudehyperplasi
comamonas species	Comamonas-art
motor response	Motorisk respons
malignant tumor of appendix	Malign tumor i appendix
pins in tibia and wedging the cast ober-Yount fasciotomy, combined with spica cast	stifter i tibia og kiler i bandagen fasciotomi ad modum Ober-Yount kombineret med spica-bandagering
total laparoscopic hysterectomy	Total laparoskopisk hysterektomi
thirteenth rib	13. costa
prophylactic treatment	profylaktisk behandling
preoperative care	præoperativ pleje
electrophoresis: cryoglobulin	elektroforese: cryoglobulin
entire infraorbital margin of maxilla	maksillære margo infraorbitalis som helhed
injury of unknown intent due to impact with moving vehicle	forårsaget af sammenstød med køretøj i bevægelse traumatisk læsion, ukendt med hvilken hensigt
heart murmur which is categorised by duration	mislyd ved hjertet specificeret iht. varighed
leukoplakia of esophagus	leukoplaki på øsofagus
removal of blood clot from bladder by incision	Fjernelse af koagel fra blære ved incision
structure of pigmented layer of ciliary body	struktur af pigmenteret lag i corpus ciliare
late effect of burn of limb	senfølge af forbrænding af ekstremitet
mucoepidermoid carcinoma of parotid gland	mukoepidermoidt karcinom i ørespytkirtel
open traumatic dislocation metacarpophalangeal joint	Åben traumatisk luksation af metakarpofalangealled
keratoconjunctivitis sicca	keratoconjunctivitis sicca
hypothalamic releasing factor product	hypotalamisk frigørende faktor-præparat
actinobacillus pleuropneumoniae - bordetella bronchiseptica - erysipelothrix rhusiopathiae - haemophilus parasuis - pasteurella multocida bacterin	Haemophilus parasuis og Pasteurella multocida bakterin indeholdende Actinobacillus pleuropneumoniae, Bordetella bronchiseptica, Erysipelothrix rhusiopathiae
antineoplastic antibiotic	antineoplastisk antibiotikum
parameters in external beam radiotherapy	Behandlingsparametre for ekstern strålebehandling
renal arteriogram abnormal	abnormt fund ved renal arteriografi
dimethicone adverse reaction	bivirkning af dimethicon
methanomicrobium mobile	Methanomicrobium mobile
inspection of mouth	Inspektion af munden
neonatal chlamydial pneumonitis	Neonatal chlamydiapneumoni
step ups	step up-øvelser
subfascial excision of tumour of upper arm, deep	subfasciel excision af tumor fra overarm, dyb
domperidone poisoning of undetermined intent	uvist med hvilken hensigt Forgiftning med domperidon
cefdinir 300 mg oral capsule	cefdinir 300 mg kapsel
SARS coronavirus HKU-65806	SARS-coronavirus HKU-65806
lergotrile mesylate	lergotrilmesylat
CD47+ lymphocyte	CD47+ lymfocyt
arthroscopy of knee with medial meniscectomy	Artroskopi af knæ med medial meniskektomi
corrosion of pharynx	Ætsning af pharynx
prednisolone acetate + sulfacetamide sodium 0.2%ww/10%ww ointment	prednisolonacetat 0,2 % wt/wt + sulfacetamidnatrium 10 % wt/wt salve
characteristics of animals in environment	træk vedr. dyr i omgivelserne
urinary cystotomy for excision of bladder tumor	cystotomi mhp. excision af blæretumor
feature of pulmonary arterial pressure	træk vedr. arteria pulmonalis-tryk
isonicotinic acid hydrazide measurement	måling af isoniazid
maltitol	maltitol
destructive procedure of lacrimal drainage structure	destruktivt indgreb på tåreafløbstruktur
approach via gastrostomy	adgang via gastrostomi
intra-location	intra-lokalisation
sign-painter	skiltemaler
auditory rotation test	Auditiv rotationstest
biopsy of jejunum using fluoroscopic guidance	biopsi af jejunum ved anvendelse af røntgengennemlysning
undiagnosed twin	Ikke-diagnosticeret tvilling
flip test	Lasègues test
HIV-related sclerosing cholangitis	HIV-relateret skleroserende kolangit
disorder of lipid metabolism	forstyrrelse af lipidstofskiftet
epiphysis of phalanx of thumb	epifyse på phalanx i tommelfinger
spironolactone and loop diuretic adverse reaction	bivirkning af spironolacton og loop-diuretikum
dural sinus	Dural sinus
other peripheral vascular system anomalies	andre anomalier af perifere vaskulære system
adverse reaction caused by fibrinolytic drugs	bivirkning af fibrinolytika
subtercola boreus	Subtercola boreus
PP>1<P^k^ blood group antibody identification	PP>1
on examination - delayed puberty	objektivt:  forsinket pubertet
proliferative glomerulonephritis	proliferativ glomerulonefrit
hit by object falling from burning barn	ramt af faldende genstand fra brændende lade
male second cousin	halvfætter
hodgkin's disease which is lymphocytic depletion	Hodgkins sygdom med lymfocytær depletion
endoscopic oesophageal dilatation using fluoroscopic guidance	endoskopisk øsofageal dilatation ved anvendelse af røntgengennemlysning
dissociative hallucinations	dissociative hallucinationer
on examination - sublingual swelling	objektivt: sublingual hævelse
acetylspermidine deacetylase	Acetylspermidindeacetylase
o/E - joint movement NAD	objektivt: ledbevægelse: i.a.
lipid storage myopathy	lipidophobningsmyopati
gastrointestinal tract manipulation	manipulation af mave-tarm-kanalen
sodomy	Sodomi
gallon	engelsk gallon
surgical margin involved by sarcoma	resektionsrand med involvering af sarkom
admission by paediatric dentist	indlæggelse foretaget af pædiatrisk tandlæge
congenital celiac disease	Kongenit cøliaki
entire cephalic vein	vena cephalica som helhed
skin structure of third toe	hudstruktur på 3. tå
dental post core - direct	dental stiftkerne - direkte
dexamethasone+tobramycin 0.1%/0.3% eye drops	dexamethason + tobramycin 0,1 %/0,3 % øjendråber
facial spasm	ansigtsspasme
sodium iopodate	natriumiopodat
entire parametrium	parametriet som helhed
benign neoplasm of ear	Benignt neoplasme i øret
unable to shuffle	ude af stand til at gå uden at løfte fødderne fra gulvet
injury to blood vessels of arm	traumatisk læsion af blodkar på arm
incomplete breech presentation	Ufuldstændig sædepræsentation
forced expired volume in one second/vital capacity ratio	forceret eksspiratorisk volumen i 1. sekund/vitalkapacitet-ratio
accidental diiodohydroxyquinoline poisoning	accidentel forgiftning med diiodohydroxyquinolin
dog bite of thumb	hundebid i tommelfinger
no malocclusion	ingen malokklusion
CT of kidney with contrast	CT af nyre med kontrast
lucas and Murray operation	Lucas' og Murrays indgreb
structure of seminal vesicle lumen	struktur af  vesicula seminalis-lumen
atrophic nonflaccid tympanic membrane	Atrofisk ikke slap trommehinde
signal node	Troisiers knude
healthy newborn	nyfødt ved godt helbred
kleihauer test normal	negativ Kleihauer-test
procedure for lesion of diaphragm	Indgreb for diaphragmalæsion
pooling platelet concentrate	pooling af trombocytkoncentrat
microinternational unit/erythrocyte	µIE/erytrocyt
service comment laboratory reporting	laboratorierapportering med servicekommentar
anxiety about fainting	angst for at besvime
intentional overdose of H2 antagonist	tilsigtet overdosis af H2-antagonist
etidocaine hydrochloride	Etidocainhydrochlorid
tissue perfusion alteration	Ændring i vævsperfusion
monocular esotropia with X or Y pattern	monokulær esotropi med X- eller Y-mønster
cervix prolapsed into vagina with traction	Cervix prolaberet ind i vagina ved traktion
dorsal surface of little finger	lillefingers dorsale overflade
langerhans cell histiocytosis	Langerhanscelle-histiocytose
symptoms of depression	symptomer på depression
benign multicystic mesothelioma	benignt multicystisk mesoteliom
midazolam hydrochloride 2mg/mL syrup	midazolamhydrochlorid 2 mg/ml syrup
aggressive angiomyxoma	aggressivt angiomyksom
c14 urea breath test	C14-carbamid-pusteprøve
patent vitelline duct	Åbentstående ductus vitellinus
corynebacterium afermentans subsp afermentans	Corynebacterium afermentans subsp. afermentans
parvovirus infection of the central nervous system	parvovirusinfektion i centralnervesystemet
able to dry self	i stand til selv at tørre sig efter vask
thermite welder	termitsvejser
nursing coordination education	undervisning i sygeplejekoordinering
cuneate tubercle structure	tuberculum nuclei cuneati-struktur
edema of thumb	Ødem i tommelfinger
infection by Anoplocephala magna	infektion med Anoplocephala magna
alpha tocopheryl acetate 400iu capsule	alphatocopherylacetat 400 IE kapsel
apnea monitor removal	fjernelse af apnømonitor
CV2	CV2
jkJk phenotype	Fænotype JkJk
benign neoplasm of thymus	benignt neoplasme i thymus
specimen from breast obtained by image guided core biopsy	prøve fra mamma indhentet ved billedvejledt grovnålsbiopsi
right basal pulmonary vein	højre basale vena pulmonalis
obstetric blood-clot pulmonary embolism - delivered	forløst obstetrisk blodprop-/lungeemboli
biceps skin fold thickness	Biceps' hudfoldstykkelse
pleural effusion associated with pancreatitis	pleuraeffusion associeret med pankreatit
unruptured internal carotid bifurcation aneurysm	Ikke-rumperet aneurisme på interne carotisbifurkatur
tyrosinemia food	fødevare til tyrosinæmi
on examination - left eye diabetic maculopathy	objektivt: diabetisk makulopati på venstre øje
apex of iliofemoral ligament	iliofemorale ligaments apex
structure of spinalis capitis muscle	struktur af musculus spinalis capitis
bony swelling of ankle joint	Knoglehævelse i talokruralled
unable to oppose thumb	ude af stand til at opponere tommelfinger
post-dose	efter dosering
adverse reaction to adrenochrome derivative	bivirkning af adrenochromderivat
flow triggering	flowudløsning
lumbosacral radiculopathy	Lumbosakral radikulopati
accident caused by explosion of coal gas	uheld forårsaget af kulgaseksplosion
structure of retinaculum extensorum of hand	struktur af retinaculum extensorum på hånd
candida melinii	Candida melinii
accident caused by object thrown from cable car which is not running on rails	der ikke kører på skinner ulykke forårsaget af genstand kastet fra kabinelift
phenylephrine 0.5% solution nasal	næsedråber phenylephrin 0,5 % opløsning
sprains and strains involving multiple regions of upper limb(s) dislocations	forstrækninger og overlastninger af flere regioner i overekstremitet(er) luksationer
health belief: perceived threat	opfattelse af sundhedstilstand: bevidst om trussel
able to count up to 10	i stand til at tælle op til 10
drainage of lesion of spleen	Drænage af miltlæsion
diagnosis	diagnose
total excision of rib NEC	ikke klassificeret andetsteds Total excision af costa
benzalkonium chloride 10% solution	benzalkoniumchlorid 10 % opløsning
plasma 5-alpha-dihydrotestosterone measurement	måling af 5-alpha-dihydrotestosteron i plasma
salmonella wingrove	Salmonella Wingrove
post-heparin lipolytic activity measurement	måling af lipolytisk aktivitet efter heparinindgift
human frozen plasma product	humant frosset produkt i plasma
iota	iota
finding of Apgar score	fund vedr. Apgar-score
finding of female perineal hygiene	Fund vedr. perinealhygiejne hos kvinde
structure of tectobulbar tract	struktur af tractus tectobulbaris
facial hemiplegia	Facial hemiplegi
aliphatic carboxylate C14-C26 esters measurement	måling af alifatisk carboxylat C14-C26-estere
nasal wash	næseskyllevæske
janibacter terrae	Janibacter terrae
bilious vomiting following gastrointestinal surgery	biliøs opkastning efter gastrointestinal kirurgi
incision and exploration of duodenum	Incision og eksploration af duodenum
deslanoside	deslanosid
entire maxillary sinus mucous gland	mukøs kirtel i sinus maxillaris som helhed
acquired limb deformity NEC	ikke klassificeret andetsteds Erhvervede arm- eller bendeformitet
limbal guttering - simple	simpel limbal furedannelse
cystic partially differentiated nephroblastoma	delvist differentieret nefroblastom Cystisk
salmonella IIIb 42:z10:z	Salmonella IIIb 42:z10:z
quadruplet pregnancy	ikke nærmere specificeret Firlingegraviditet
4.30 o'clock position	positionen kl. 4.30
labetalol hydrochloride 5mg/ml injection solution 20mL vial	20 ml hætteglas labetalolhydrochlorid 5 mg/ml injektionsvæske, opløsning
zymomonas mobilis subspecies francensis	Zymomonas mobilis subsp. francensis
shortening plasty to tricuspid chordae tendinae	forkortningsplastik på trikuspidale chordae tendinae
congenital absence of skin on scalp	Kongenit manglende hud på issen
cancer cervix screen-no result yet	endnu intet resultat screening for cancer i cervix
skin adhesives sterile	sterile hudadhæsionsmidler
inadequate body fluid replacement	utilstrækkelig erstatning af legemsvæsker
urine drug screening	screening af urin for misbrugsstoffer
clioquinol	Clioquinol
palonosetron 0.25mg/5mL injection solution 5mL vial	hætteglas a 5 ml palonosetron 9,25 mg/5 ml injektionsvæske, opløsning
every 2 to 3 hours	hver 2.-3. time
primary congenital bronchomalacia	Primær kongenit bronkomalaci
cramping	krampagtig fornemmelse
allergy to moclobemide	allergi over for moclobemid
difficulty using glottalic airstream for speech	besvær med at anvende glottisk luftstrøm til tale
malabsorption syndrome	malabsorptionssyndrom
childbirth and the puerperium diseases of the respiratory system complicating pregnancy	fødsel og puerperium sygdomme i respirationssystemet, der komplicerer graviditet
gamma-Glutamylcysteine synthetase measurement	måling af gamma-glutamylcystein-synthetase
varicose veins of nasal septum with ulcer	Varicer i septum nasi med ulcus
joint derangement	ikke nærmere specificeret derangement i led
high calorie diet	diæt med forhøjet kalorieindhold
symmetrical tonic neck reflex finding	fund vedr. symmetrisk tonisk halsrefleks
unable to wash own hair	ude af stand til selv at vaske hår
lysis of adhesions of spinal cord	lysis af afhærencer i rygmarv
free skin graft	indgreb med anvendelse af fri hudtransplantat
bone structure of distal tibia	knoglestruktur distalt i tibia
via gastrointestinal tube	via gastrointestinalsonde
methionyl-tRNA formyltransferase	Methionyl-tRNA formyltransferase
GM>1< gangliosidosis	GM1-gangliosidose
referral to community rehabilitation	henvisning mhp. rehabilitering i lokalområde
flucloxacillin magnesium	flucloxacillinmagnesium
bacterial infection caused by Serratia	bakteriel infektion forårsaget af Serratia
fetus OR newborn affected by damage to placenta from amniocentesis	Foster ELLER nyfødt påvirket af placentabeskadigelse som følge af amniocentese
integrated optical coherence tomography and scanning laser ophthalmoscopy	Integreret optisk kohærenstomografi og laserscanningoftalmoskopi
simple extraction of supernumerary tooth	Simpel udtrækning af overtallig tand
amisulpride 400 mg oral tablet	amisulprid 400 mg tablet
typhus group rickettsia	plettyfusgruppen Rickettsia
streptococcus pyogenes emm type 76	Streptococcus pyogenes emm type 76
neoplasm of uncertain behavior of spinal cord	usikkert om benignt eller malignt neoplasme i rygmarven
on examination - Right foot ulcer	objektivt: højre fodsår
intents	Hensigter
finding of eating / feeding / drinking ability	Fund vedr.  evne til at indtage føde- og drikkevarer
ventilation and refrigeration engineering Technician heating	ventilations- og køletekniker varme-
structure of pretracheal lymph node	Struktur af prætrakeal lymfeknude
cheilitis granulomatosa of Miescher-Melkersson-Rosenthal	Cheilitis granulomatosa ved Melkersson-Rosenthals syndrom
overlapping malignant neoplasm of female breast	malignt neoplasme i mamma hos kvinde overgribende flere regioner
developmental psychodynamic psychotherapy	psykodynamisk udviklingspsykiatri
non-skeletal entire ligament	ikke-skeletalt ligament som helhed
susceptibility skin test done	kutantest for modtagelighed udført
oxycodone hydrochloride 10 mg oral tablet	oxycodonhydrochlorid 10 mg tablet
intentional anticholinesterase poisoning	tilsigtet forgiftning med anticholinesterase
vagal gastric disorder	Vagal gastrisk forstyrrelse
